sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
3.194;135;;180rounds;Yes;No;2;0.75631;0.86447;0.00734;0.07814;1.62078;ParsCat@44;Agent116@45;0.7563076559819233;0.8644697263538762;0.7563076559819233;0.8644697263538762;party2_utility.xml;party6_utility.xml
2.739;181;;180rounds;No;No;1;0.00000;0.00000;1.06639;1.17484;0.00000;Agent116@46;ParsCat@47;0.0;0.0;0.0;0.0;party2_utility.xml;party6_utility.xml
2.814;106;;180rounds;Yes;No;2;0.78012;0.84227;0.00000;0.10981;1.62239;ParsCat@48;Agent116@49;0.7801191651836397;0.8422663397324013;0.7801191651836397;0.8422663397324013;party2_utility.xml;party6_utility.xml
2.389;174;;180rounds;Yes;No;2;0.54671;0.78591;0.13197;0.39101;1.33262;Agent116@50;ParsCat@51;0.785905062151012;0.5467135834985771;0.785905062151012;0.5467135834985771;party2_utility.xml;party6_utility.xml
2.475;104;;180rounds;Yes;No;2;0.78012;0.84227;0.00000;0.10981;1.62239;ParsCat@52;Agent116@53;0.7801191651836397;0.8422663397324013;0.7801191651836397;0.8422663397324013;party2_utility.xml;party6_utility.xml
2.607;181;;180rounds;No;No;1;0.00000;0.00000;1.06639;1.17484;0.00000;Agent116@54;ParsCat@55;0.0;0.0;0.0;0.0;party2_utility.xml;party6_utility.xml
2.892;119;;180rounds;Yes;No;2;0.75631;0.86447;0.00734;0.07814;1.62078;ParsCat@56;Agent116@57;0.7563076559819233;0.8644697263538762;0.7563076559819233;0.8644697263538762;party2_utility.xml;party6_utility.xml
2.437;172;;180rounds;Yes;No;2;0.56280;0.92857;0.00000;0.42552;1.49136;Agent116@58;ParsCat@59;0.9285654723948509;0.5627965697290963;0.9285654723948509;0.5627965697290963;party2_utility.xml;party6_utility.xml
2.981;115;;180rounds;Yes;No;2;0.78012;0.84227;0.00000;0.10981;1.62239;ParsCat@60;Agent116@61;0.7801191651836397;0.8422663397324013;0.7801191651836397;0.8422663397324013;party2_utility.xml;party6_utility.xml
2.547;181;;180rounds;No;No;1;0.00000;0.00000;1.06639;1.17484;0.00000;Agent116@62;ParsCat@63;0.0;0.0;0.0;0.0;party2_utility.xml;party6_utility.xml
2.567;105;;180rounds;Yes;No;2;0.78012;0.84227;0.00000;0.10981;1.62239;ParsCat@64;Agent116@65;0.7801191651836397;0.8422663397324013;0.7801191651836397;0.8422663397324013;party2_utility.xml;party6_utility.xml
2.276;172;;180rounds;Yes;No;2;0.58535;0.91209;0.00000;0.39776;1.49744;Agent116@66;ParsCat@67;0.9120887338395958;0.5853474773433981;0.9120887338395958;0.5853474773433981;party2_utility.xml;party6_utility.xml
