sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
8.680;173;;180rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;Caduceus@5;Caduceus@6;Caduceus@7;Caduceus@8;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
7.013;181;;180rounds;No;No;2;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBB@9;Caduceus@10;Caduceus@11;Caduceus@12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
3.895;154;;180rounds;Yes;No;4;0.68493;0.88167;0.00000;0.16221;3.05710;Caduceus@13;AgentBB@14;Caduceus@15;Caduceus@16;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
3.363;157;;180rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;AgentBB@17;AgentBB@18;Caduceus@19;Caduceus@20;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
6.393;181;;180rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Caduceus@21;Caduceus@22;AgentBB@23;Caduceus@24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
4.333;181;;180rounds;No;No;2;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBB@25;Caduceus@26;AgentBB@27;Caduceus@28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
3.970;181;;180rounds;No;No;2;0.00000;0.00000;1.36280;1.58071;0.00000;Caduceus@29;AgentBB@30;AgentBB@31;Caduceus@32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
2.312;181;;180rounds;No;No;2;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBB@33;AgentBB@34;AgentBB@35;Caduceus@36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
7.572;181;;180rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Caduceus@37;Caduceus@38;Caduceus@39;AgentBB@40;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
4.169;181;;180rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBB@41;Caduceus@42;Caduceus@43;AgentBB@44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
4.275;181;;180rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Caduceus@45;AgentBB@46;Caduceus@47;AgentBB@48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
2.290;181;;180rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBB@49;AgentBB@50;Caduceus@51;AgentBB@52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
4.280;181;;180rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Caduceus@53;Caduceus@54;AgentBB@55;AgentBB@56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
2.283;181;;180rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBB@57;Caduceus@58;AgentBB@59;AgentBB@60;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
3.271;181;;180rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Caduceus@61;AgentBB@62;AgentBB@63;AgentBB@64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.803;181;;180rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBB@68;AgentBB@69;AgentBB@70;AgentBB@71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
