sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
3.173;181;;180rounds;No;No;1;0.00000;0.00000;1.09840;1.43385;0.00000;AgentA@4;Caduceus@5;ParsCat@6;0.0;0.0;0.0;0.0;0.0;0.0;party7_utility.xml;party8_utility.xml;party9_utility.xml
2.495;181;;180rounds;No;No;1;0.00000;0.00000;1.09840;1.43385;0.00000;Caduceus@7;AgentA@8;ParsCat@9;0.0;0.0;0.0;0.0;0.0;0.0;party7_utility.xml;party8_utility.xml;party9_utility.xml
4.479;174;;180rounds;Yes;No;3;0.75048;0.91246;0.00000;0.13486;2.41342;ParsCat@10;AgentA@11;Caduceus@12;0.7504778735349671;0.9124619064965962;0.7504778735349671;0.7504778735349671;0.9124619064965962;0.7504778735349671;party7_utility.xml;party8_utility.xml;party9_utility.xml
7.205;181;;180rounds;No;No;1;0.00000;0.00000;1.09840;1.43385;0.00000;AgentA@13;ParsCat@14;Caduceus@15;0.0;0.0;0.0;0.0;0.0;0.0;party7_utility.xml;party8_utility.xml;party9_utility.xml
2.083;173;;180rounds;Yes;No;3;0.62650;0.90803;0.00000;0.23468;2.44256;Caduceus@16;ParsCat@17;AgentA@18;0.9080308672341096;0.6264956288304014;0.9080308672341096;0.9080308672341096;0.6264956288304014;0.9080308672341096;party7_utility.xml;party8_utility.xml;party9_utility.xml
1.507;158;;180rounds;Yes;No;3;0.51503;0.93706;0.00000;0.35244;2.38915;ParsCat@19;Caduceus@20;AgentA@21;0.9370604648766575;0.515028026207183;0.9370604648766575;0.9370604648766575;0.515028026207183;0.9370604648766575;party7_utility.xml;party8_utility.xml;party9_utility.xml
6.344;166;;180rounds;Yes;No;3;0.72243;0.90916;0.00000;0.04465;2.43477;AgentA@22;Caduceus@23;ParsCat@24;0.9091562315585825;0.7224310233186106;0.8031854029266439;0.9091562315585825;0.7224310233186106;0.8031854029266439;party5_utility.xml;party8_utility.xml;party9_utility.xml
2.355;181;;180rounds;No;No;1;0.00000;0.00000;1.06985;1.43007;0.00000;Caduceus@25;AgentA@26;ParsCat@27;0.0;0.0;0.0;0.0;0.0;0.0;party5_utility.xml;party8_utility.xml;party9_utility.xml
3.527;169;;180rounds;Yes;No;3;0.72222;0.91246;0.00000;0.24156;2.38516;ParsCat@28;AgentA@29;Caduceus@30;0.7222228928662346;0.9124619064965962;0.7504778735349671;0.7222228928662346;0.9124619064965962;0.7504778735349671;party5_utility.xml;party8_utility.xml;party9_utility.xml
7.768;181;;180rounds;No;No;1;0.00000;0.00000;1.06985;1.43007;0.00000;AgentA@31;ParsCat@32;Caduceus@33;0.0;0.0;0.0;0.0;0.0;0.0;party5_utility.xml;party8_utility.xml;party9_utility.xml
